OID_,subtype,curb_id,txt_failed,txt,img_urls,arrows,type,symbols,dist_m,facing,
14238, ,cGhpbGFkZWxwaGlhOjg0ODE4,F,Zipcars Here,https://api.coord.com/surveyor/photo/641904,none,Parking Sign,Other,89.5500031,unknown,
14241, ,cGhpbGFkZWxwaGlhOjg0ODE4,F,Zipcars Here,https://api.coord.com/surveyor/photo/641905,none,Parking Sign, ,100.6800003,unknown,
14124, ,cGhpbGFkZWxwaGlhOjg0Nzk5,F,VEHICLE ACCESS,https://api.coord.com/surveyor/photo/641868,left,Parking Sign,Handicap,109.0899963,sidewalk,
12063, ,cGhpbGFkZWxwaGlhOjUzNzU5,F,"VALET PARKING ONLY
THURS-SAT 5:00 PM - 12:00 AM",https://api.coord.com/surveyor/photo/347151,right,Parking Sign, ,37.1699982,unknown,
12060, ,cGhpbGFkZWxwaGlhOjUzNzU5,F,"VALET PARKING ONLY
THURS-SAT 5:00 PM - 12:00 AM","https://api.coord.com/surveyor/photo/347149, https://api.coord.com/surveyor/photo/360777",left,Parking Sign, ,24.9300003,unknown,
3550, ,cGhpbGFkZWxwaGlhOjEyOTAy,F,"VALET PARKING ONLY
MON-SUN 6:30PM - 3:00AM",https://api.coord.com/surveyor/photo/346172,left,Parking Sign, ,31.2199993,street,
3557, ,cGhpbGFkZWxwaGlhOjEyOTAy,F,"VALET PARKING ONLY
MON-SUN 6:30PM - 3:00AM",https://api.coord.com/surveyor/photo/346180,right,Parking Sign, ,51.2299995,street,
3538, ,cGhpbGFkZWxwaGlhOjEyOTAx,F,"VALET PARKING ONLY
MON-SUN 6:30PM - 3:00AM",https://api.coord.com/surveyor/photo/350765,right,Parking Sign, ,128.5500031,street,
643, ,cGhpbGFkZWxwaGlhOjQ2MTg,F,"VALET PARKING ONLY
MON-SUN 6:30PM - 3:00AM",https://api.coord.com/surveyor/photo/368273,right,Parking Sign, ,101.2600021,street,
6696, ,cGhpbGFkZWxwaGlhOjI0Mjgw,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/360591,left,Parking Sign, ,54.4199982,street,
7326, ,cGhpbGFkZWxwaGlhOjI0NjMy,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/351020,right,Parking Sign, ,0,sidewalk,
7331, ,cGhpbGFkZWxwaGlhOjI0NjMy,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/351023, https://api.coord.com/surveyor/photo/356131",left,Parking Sign, ,19.3400002,unknown,
7334, ,cGhpbGFkZWxwaGlhOjI0NjMy,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/351024,left_right,Parking Sign, ,70.7699966,unknown,
14981, ,cGhpbGFkZWxwaGlhOjg4Mjgw,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/372363, https://api.coord.com/surveyor/photo/373138",left_right,Parking Sign, ,25.3099995,unknown,
15658, ,cGhpbGFkZWxwaGlhOjEwNzA0OQ,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/378539,right,Parking Sign, ,58.0200005,unknown,
606, ,cGhpbGFkZWxwaGlhOjQ2MTc,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/368232, https://api.coord.com/surveyor/photo/372425",left,Parking Sign, ,13.0900002,street,
609, ,cGhpbGFkZWxwaGlhOjQ2MTc,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/368234, https://api.coord.com/surveyor/photo/372426",right,Parking Sign, ,19.4599991,street,
630, ,cGhpbGFkZWxwaGlhOjQ2MTc,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/368254,right,Parking Sign, ,129.8600006,sidewalk,
7262, ,cGhpbGFkZWxwaGlhOjI0NTQx,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/365656,left,Parking Sign, ,29.2000008,unknown,
8757, ,cGhpbGFkZWxwaGlhOjM5Mjc4,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/356213, https://api.coord.com/surveyor/photo/357029",left,Parking Sign, ,93.0999985,street,
8760, ,cGhpbGFkZWxwaGlhOjM5Mjc4,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/356214, https://api.coord.com/surveyor/photo/357031",right,Parking Sign, ,102.7200012,street,
11014, ,cGhpbGFkZWxwaGlhOjQ0MjY2,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/357454,left,Parking Sign, ,114.3899994,unknown,
12294, ,cGhpbGFkZWxwaGlhOjY0NTk0,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/366125,left,Parking Sign, ,30.1900005,street,
12296, ,cGhpbGFkZWxwaGlhOjY0NTk0,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/366129, https://api.coord.com/surveyor/photo/377150",right,Parking Sign, ,50.0499992,street,
14433, ,cGhpbGFkZWxwaGlhOjg0ODI4,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/351304, https://api.coord.com/surveyor/photo/347136",right,Parking Sign, ,123.7200012,unknown,
14978, ,cGhpbGFkZWxwaGlhOjg4Mjgw,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/372362, https://api.coord.com/surveyor/photo/373137",left,Parking Sign, ,17.6100006,unknown,
15999, ,cGhpbGFkZWxwaGlhOjExNzQ5Mg,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/372211,right,Parking Sign, ,22.5400009,unknown,
16001, ,cGhpbGFkZWxwaGlhOjExNzQ5Mg,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/374991,right,Parking Sign, ,44.2400017,street,
6683, ,cGhpbGFkZWxwaGlhOjI0Mjc5,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/346954, https://api.coord.com/surveyor/photo/360585",right,Parking Sign, ,9.0799999,street,
626, ,cGhpbGFkZWxwaGlhOjQ2MTc,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/368252, https://api.coord.com/surveyor/photo/372431",left,Parking Sign, ,104.2200012,street,
5415, ,cGhpbGFkZWxwaGlhOjE2NjYy,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/361983, https://api.coord.com/surveyor/photo/356873",right,Parking Sign, ,24.25,unknown,
7266, ,cGhpbGFkZWxwaGlhOjI0NTQx,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/365658,right,Parking Sign, ,53.4500008,unknown,
14430, ,cGhpbGFkZWxwaGlhOjg0ODI4,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/351303, https://api.coord.com/surveyor/photo/347132",left,Parking Sign, ,97.3499985,unknown,
617, ,cGhpbGFkZWxwaGlhOjQ2MTc,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/368242, https://api.coord.com/surveyor/photo/372429",right,Parking Sign, ,66.7399979,unknown,
5412, ,cGhpbGFkZWxwaGlhOjE2NjYy,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/361980, https://api.coord.com/surveyor/photo/356872",left,Parking Sign, ,10.1800003,unknown,
8822, ,cGhpbGFkZWxwaGlhOjM5Mjgx,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/360664, https://api.coord.com/surveyor/photo/347057",left,Parking Sign, ,103.3799973,unknown,
11018, ,cGhpbGFkZWxwaGlhOjQ0MjY2,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/357456, https://api.coord.com/surveyor/photo/365710",right,Parking Sign, ,126.7699966,unknown,
13871, ,cGhpbGFkZWxwaGlhOjc0NzQ5,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/378474, https://api.coord.com/surveyor/photo/366448",left,Parking Sign, ,10.0799999,sidewalk,
8825, ,cGhpbGFkZWxwaGlhOjM5Mjgx,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/360665, https://api.coord.com/surveyor/photo/347059",right,Parking Sign, ,139.3800049,unknown,
7337, ,cGhpbGFkZWxwaGlhOjI0NjMy,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/351025, https://api.coord.com/surveyor/photo/356132",right,Parking Sign, ,90.5699997,unknown,
6697, ,cGhpbGFkZWxwaGlhOjI0Mjgw,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/360592, https://api.coord.com/surveyor/photo/346969",left_right,Parking Sign, ,87.0500031,unknown,
615, ,cGhpbGFkZWxwaGlhOjQ2MTc,F,"VALET PARKING ONLY
MON-SUN","https://api.coord.com/surveyor/photo/368240, https://api.coord.com/surveyor/photo/372428",left,Parking Sign, ,46.4799995,street,
14983, ,cGhpbGFkZWxwaGlhOjg4Mjgw,F,"VALET PARKING ONLY
MON-SUN",https://api.coord.com/surveyor/photo/372364,right,Parking Sign, ,37.9099998,unknown,
16002, ,cGhpbGFkZWxwaGlhOjExNzQ5Mg,F,"VALET PARKING ONLY
MON-SAT 4:00PM-12:00AM
SUN 9:00AM-12:00AM",https://api.coord.com/surveyor/photo/374991,left,Parking Sign, ,44.2400017,street,
16005, ,cGhpbGFkZWxwaGlhOjExNzQ5Mg,F,"VALET PARKING ONLY
MON-SAT 4:00PM-12:00AM
SUN 9:00AM-12:00AM","https://api.coord.com/surveyor/photo/372214, https://api.coord.com/surveyor/photo/374992",right,Parking Sign, ,61.1199989,street,
11543, ,cGhpbGFkZWxwaGlhOjQ2MTU3,F,"VALET PARKING ONLY
MON-FRI 8:00 AM - 7:00 PM",https://api.coord.com/surveyor/photo/371903,left,Parking Sign, ,24.9799995,unknown,
11537, ,cGhpbGFkZWxwaGlhOjQ2MTU3,F,"VALET PARKING ONLY
MON-FRI 8:00 AM - 7:00 PM","https://api.coord.com/surveyor/photo/374858, https://api.coord.com/surveyor/photo/371902",left,Parking Sign, ,7.9400001,unknown,
4923, ,cGhpbGFkZWxwaGlhOjE0NjY3,F,"VALET PARKING ONLY
MON-FRI 6:30PM-2:00AM
SAT-SUN 4:00PM-2:00AM",https://api.coord.com/surveyor/photo/350908,left,Parking Sign, ,5.5700002,unknown,
4929, ,cGhpbGFkZWxwaGlhOjE0NjY3,F,"VALET PARKING ONLY
MON-FRI 6:30PM-2:00AM
SAT-SUN 4:00PM-2:00AM",https://api.coord.com/surveyor/photo/350909,right,Parking Sign, ,21.5100002,unknown,
12599, ,cGhpbGFkZWxwaGlhOjcxNDA1,F,"VALET PARKING ONLY
MON-SUN
EXCEPT RESTRICTED HOURS","https://api.coord.com/surveyor/photo/351190, https://api.coord.com/surveyor/photo/346965",left,Parking Sign, ,9.9799995,street,
12603, ,cGhpbGFkZWxwaGlhOjcxNDA1,F,"VALET PARKING ONLY
MON-SUN
EXCEPT RESTRICTED HOURS","https://api.coord.com/surveyor/photo/351191, https://api.coord.com/surveyor/photo/346970",right,Parking Sign, ,15.9899998,street,
5036, ,cGhpbGFkZWxwaGlhOjE0Njg0,F,"VALET PARKING ONLY
MON-SUN 5:00 PM - 12:00 AM","https://api.coord.com/surveyor/photo/346884, https://api.coord.com/surveyor/photo/365626",left,Parking Sign, ,9.8900003,unknown,
4854, ,cGhpbGFkZWxwaGlhOjE0NjU0,F,"VALET PARKING ONLY
MON-SUN 4:00PM - 2:00AM",https://api.coord.com/surveyor/photo/350873,right,Parking Sign, ,74.0400009,unknown,
448, ,cGhpbGFkZWxwaGlhOjQ2MDc,F,"VALET PARKING ONLY
MON-SUN 4:00 PM - 2:00 AM",https://api.coord.com/surveyor/photo/642072,left,Parking Sign, ,13,sidewalk,
457, ,cGhpbGFkZWxwaGlhOjQ2MDc,F,"VALET PARKING ONLY
MON-SUN 4:00 PM - 2:00 AM",https://api.coord.com/surveyor/photo/642074,right,Parking Sign, ,43.6899986,sidewalk,
4850, ,cGhpbGFkZWxwaGlhOjE0NjU0,F,"VALET PARKING ONLY
MON-SUN 4:00 PM - 2:00 AM",https://api.coord.com/surveyor/photo/346384,left,Parking Sign, ,60.0400009,street,
7310, ,cGhpbGFkZWxwaGlhOjI0NTQz,F,"VALET PARKING ONLY
MON-FRI 6:30PM-2:00AM
SAT-SUN 4:00PM-2:00AM",https://api.coord.com/surveyor/photo/642090,left,Parking Sign, ,43.3100014,sidewalk,
7314, ,cGhpbGFkZWxwaGlhOjI0NTQz,F,"VALET PARKING ONLY
MON-FRI 6:30PM-2:00AM
SAT-SUN 4:00PM-2:00AM",https://api.coord.com/surveyor/photo/642091,right,Parking Sign, ,60.4500008,sidewalk,
566, ,cGhpbGFkZWxwaGlhOjQ2MTQ,F,"VALET PARKING ONLY
MON-FRI 5:00 PM - 2:00 AM",https://api.coord.com/surveyor/photo/641996,left,Parking Sign, ,73.8000031,unknown,
5465, ,cGhpbGFkZWxwaGlhOjE2Njg0,F,"VALET PARKING ONLY
MON-FRI 10:00AM-8:00PM","https://api.coord.com/surveyor/photo/356046, https://api.coord.com/surveyor/photo/350943",left,Parking Sign, ,11.79,unknown,
5464, ,cGhpbGFkZWxwaGlhOjE2Njg0,F,"VALET PARKING ONLY
MON-FRI 10:00AM-8:00PM","https://api.coord.com/surveyor/photo/356046, https://api.coord.com/surveyor/photo/350943",left,Parking Sign, ,11.79,unknown,
5469, ,cGhpbGFkZWxwaGlhOjE2Njg0,F,"VALET PARKING ONLY
MON-FRI 10:00AM-8:00PM",https://api.coord.com/surveyor/photo/356047,right,Parking Sign, ,33.6300011,street,
15265, ,cGhpbGFkZWxwaGlhOjg5NTk4,F,"VALET PARKING ONLY
FRI 8:00AM-2:00PM
SAT-SUN 12:00AM-2:00PM",https://api.coord.com/surveyor/photo/642060,left,Parking Sign, ,49.9099998,unknown,
15271, ,cGhpbGFkZWxwaGlhOjg5NTk4,F,"VALET PARKING ONLY
FRI 4:00PM-2:00AM
SAT-SUN 12:00PM-2:00AM",https://api.coord.com/surveyor/photo/642061,right,Parking Sign, ,66.6200027,unknown,
14093, ,cGhpbGFkZWxwaGlhOjg0NzUx,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED
AT OWNERS EXPENSE
R & K TOWING","https://api.coord.com/surveyor/photo/376201, https://api.coord.com/surveyor/photo/374510",right,Parking Sign, ,63.1899986,unknown,
16102, ,cGhpbGFkZWxwaGlhOjEyOTM1Mw,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED
AT OWNERS EXPENSE
R & K TOWING",https://api.coord.com/surveyor/photo/374533,right,Parking Sign, ,66.1699982,unknown,
14092, ,cGhpbGFkZWxwaGlhOjg0NzUx,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED
AT OWNERS EXPENSE
R & K TOWING","https://api.coord.com/surveyor/photo/376200, https://api.coord.com/surveyor/photo/374509",none,Parking Sign, ,40.6699982,unknown,
16101, ,cGhpbGFkZWxwaGlhOjEyOTM1Mw,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED
AT OWNERS EXPENSE
R & K TOWING","https://api.coord.com/surveyor/photo/374532, https://api.coord.com/surveyor/photo/376212",none,Parking Sign, ,32.2999992,unknown,
14088, ,cGhpbGFkZWxwaGlhOjg0NzUw,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED AT OWNERS EXPENSE","https://api.coord.com/surveyor/photo/376197, https://api.coord.com/surveyor/photo/374506",left_right,Parking Sign, ,10.1499996,unknown,
16103, ,cGhpbGFkZWxwaGlhOjEyOTM1NA,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED AT OWNERS EXPENSE",https://api.coord.com/surveyor/photo/374534,left,Parking Sign, ,5.8600001,unknown,
14091, ,cGhpbGFkZWxwaGlhOjg0NzUx,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED AT OWNERS EXPENSE","https://api.coord.com/surveyor/photo/376199, https://api.coord.com/surveyor/photo/374508",left,Parking Sign, ,11.0200005,unknown,
16104, ,cGhpbGFkZWxwaGlhOjEyOTM1NA,F,"VALET PARKING ONLY
ALL OTHERS WILL BE TOWED AT OWNERS EXPENSE","https://api.coord.com/surveyor/photo/374535, https://api.coord.com/surveyor/photo/376215",none,Parking Sign, ,42.4099998,sidewalk,
13872, ,cGhpbGFkZWxwaGlhOjc0NzQ5,F,VALET PARKING ONLY,"https://api.coord.com/surveyor/photo/378477, https://api.coord.com/surveyor/photo/366452",right,Parking Sign, ,20.3099995,unknown,
14710, ,cGhpbGFkZWxwaGlhOjg3NDQ0,F,VALET PARKING ONLY,"https://api.coord.com/surveyor/photo/357446, https://api.coord.com/surveyor/photo/356498",left,Parking Sign, ,4.48,unknown,
14713, ,cGhpbGFkZWxwaGlhOjg3NDQ0,F,VALET PARKING ONLY,"https://api.coord.com/surveyor/photo/357448, https://api.coord.com/surveyor/photo/356499",right,Parking Sign, ,26.2600002,unknown,
5030, ,cGhpbGFkZWxwaGlhOjE0Njgy,F,VALET PARKING ONLY,https://api.coord.com/surveyor/photo/350927,left,Parking Sign, ,101.0500031,sidewalk,
3848, ,cGhpbGFkZWxwaGlhOjEyOTE4,F,USE CROSSWALK,https://api.coord.com/surveyor/photo/375819,left,Parking Sign, ,191.1900024,unknown,
3921, ,cGhpbGFkZWxwaGlhOjEyOTIz,F,USE CROSSWALK,https://api.coord.com/surveyor/photo/378140,right,Parking Sign, ,191.4900055,street,
8708, ,cGhpbGFkZWxwaGlhOjM5MjA3,F,TWO WAY TRAFFIC AHEAD,"https://api.coord.com/surveyor/photo/371173, https://api.coord.com/surveyor/photo/362268",none,Parking Sign, ,85.2300034,unknown,
13131, ,cGhpbGFkZWxwaGlhOjczNzYy,F,TWO WAY TRAFFIC AHEAD,"https://api.coord.com/surveyor/photo/360824, https://api.coord.com/surveyor/photo/347092",none,Parking Sign, ,58.7200012,unknown,
710, ,cGhpbGFkZWxwaGlhOjQ2NTY,F,"TWO HOUR
RESERVED
PARKING
FOR ONLY
AT ALL TIMES
METER MUST BE PAID
9AM-6:30PM
MON-SAT
VEHICLES WITHOUT SUBJECT TO $300 FINE AND ALL TOWING & STORAGE FEETS","https://api.coord.com/surveyor/photo/378023, https://api.coord.com/surveyor/photo/375064",right,Parking Sign,Handicap,15.46,unknown,
6158, ,cGhpbGFkZWxwaGlhOjE5OTYw,F,"TWO HOUR
RESERVED
PARKING
FOR ONLY
AT ALL TIMES
METER MUST BE PAID
8 AM - 6:30 PM
MON - SAT
","https://api.coord.com/surveyor/photo/361645, https://api.coord.com/surveyor/photo/368250",right,Parking Sign,Handicap,6.5100002,unknown,
10455, ,cGhpbGFkZWxwaGlhOjQyOTk0,F,"TWO HOUR
RESERVED
PARKING
FOR ONLY
AT ALL TIMES
METER MUST BE PAID
8 AM - 6 PM
MON - SAT
","https://api.coord.com/surveyor/photo/357143, https://api.coord.com/surveyor/photo/356286",left,Parking Sign,Handicap,45.2799988,unknown,
11591, ,cGhpbGFkZWxwaGlhOjQ3NzAx,F,"TWO HOUR
RESERVED PARKING
FOR ONLY
AT ALL TIMES
METER MUST BE PAID
8 AM-6:30 PM
MON - SAT
VEHICLES WITHOUT SUBJECT TO $300 FINE AND ALL TOWING AND STORAGE FEETS","https://api.coord.com/surveyor/photo/366014, https://api.coord.com/surveyor/photo/372935",right,Parking Sign,Handicap,206.6000061,street,
7884, ,cGhpbGFkZWxwaGlhOjMwNjA1,F,"TWO HOUR
RESERVED PARKING
FOR [HANDICAPPED] ONLY
AT ALL TIMES
METER MUST BE PAID
8AM-6:30PM
MON-SAT
VEHICLES WITHOUT [PLACARD] SUBJECT TO $300 FINE AND ALL TOWING AND STORAGE FEETS",https://api.coord.com/surveyor/photo/356936,left,Parking Sign,Handicap,112.5299988,street,
3019, ,cGhpbGFkZWxwaGlhOjExNjEz,F,"TWO HOUR
RESERVED PARKING
FOR   ONLY
AT ALL TIMES
METER MUST BE PAID
8AM-8PM MON-SAT",https://api.coord.com/surveyor/photo/375213,right,Parking Sign,Handicap,16.2000008,unknown,
3016, ,cGhpbGFkZWxwaGlhOjExNjEz,F,"TWO HOUR
RESERVED PARKING FOR ONLY AT ALL TIMES 
METER MUST BE PAID
8 AM - 8 PM
MON - SAT",https://api.coord.com/surveyor/photo/375211,left,Parking Sign,Handicap,6.5999999,street,
5705, ,cGhpbGFkZWxwaGlhOjE2OTQz,F,"TWO HOUR
RESERVED 
PARKING
FOR ONLY
AT ALL TIMES
METER MUST BE PAID
8 AM - 8 PM
MON - SAT","https://api.coord.com/surveyor/photo/368162, https://api.coord.com/surveyor/photo/371007",left,Parking Sign,Handicap,13.3699999,unknown,
3924, ,cGhpbGFkZWxwaGlhOjEyOTI0,F,"TWO HOUR
RESERVED 
PARKING 
FOR     ONLY
AT ALL TIMES
METER MUST BE PAID
8 AM - 8 PM
MON-SAT
VEHICLES WITHOUT SUBJECT TO $300 FINE 
AND ALL TOWING AND STORAGE FEETS",https://api.coord.com/surveyor/photo/375277,right,Parking Sign,Handicap,208.8800049,unknown,
2089, ,cGhpbGFkZWxwaGlhOjcxNjY,F,"TWO HOUR RESERVED PARKING
FOR ONLY
AT ALL TIMES
METER MUST BE PAID
8 AM- 6 PM
MON-SAT","https://api.coord.com/surveyor/photo/376333, https://api.coord.com/surveyor/photo/375174",right,Parking Sign,Handicap,34.2999992,unknown,
10330, ,cGhpbGFkZWxwaGlhOjQyOTIz,F,"TWO HOUR RESERVED PARKING
FOR ONLY
AT ALL TIMES
METER MUST BE PAID
8 AM - 8 PM
MON - SAT","https://api.coord.com/surveyor/photo/378346, https://api.coord.com/surveyor/photo/375675",right,Parking Sign,Handicap,8.46,street,
6208, ,cGhpbGFkZWxwaGlhOjE5OTYy,F,"TWO HOUR RESERVED PARKING
FOR HANDICAPPED ONLY
AT ALL TIMES 
METER MUST BE PAID 
8 AM - 4PM MON-FRI 
8 AM - 6:30 PM SAT",https://api.coord.com/surveyor/photo/361742,right,Parking Sign,Handicap,101.6500015,unknown,
6748, ,cGhpbGFkZWxwaGlhOjI0Mjg0,F,"TWO HOUR RESERVED PARKING
FOR  ONLY
AT ALL TIMES
METER MUST BE PAID
8AM-8PM
MON-SAT
VEHICLES WITHOUT SUBJECT TO $300 FINE AND ALL TOWING AND STORAGE FEETS","https://api.coord.com/surveyor/photo/361856, https://api.coord.com/surveyor/photo/361648",right,Parking Sign,Handicap,91.8300018,street,
708, ,cGhpbGFkZWxwaGlhOjQ2NTY,F,TWO HOUR RESERVED PARKING FOR ONLY AT ALL TIMES METER MUST BE PAID 9AM - 6:30PM MON - SAT VEHICLES WITHOUT SUBJECT TO $300 FINE AND ALL TOWING AND STORAGE FEETS,"https://api.coord.com/surveyor/photo/378020, https://api.coord.com/surveyor/photo/375063",left,Parking Sign,Handicap,4.7399998,street,
7826, ,cGhpbGFkZWxwaGlhOjMwNjAx,F,TWO HOUR RESERVED PARKING FOR ONLY AT ALL TIMES METER MUST BE PAID 8AM-6:30 PM MON-SAT,https://api.coord.com/surveyor/photo/356895,left,Parking Sign,Handicap,48.9799995,street,
10458, ,cGhpbGFkZWxwaGlhOjQyOTk0,F,TWO HOUR RESERVED PARKING FOR ONLY AT ALL TIMES METER MUST BE PAID 8 AM-6 PM MON-SAT VEHICLES,"https://api.coord.com/surveyor/photo/357144, https://api.coord.com/surveyor/photo/356287",right,Parking Sign,Handicap,51.6199989,unknown,
11590, ,cGhpbGFkZWxwaGlhOjQ3NzAx,F,TWO HOUR RESERVED PARKING FOR ONLY AT ALL TIMES METER MUST BE PAID 8 AM - 6:30 PM MON- SAT VEHICLES WITHOUT SUBJECT TO $300 FINE AND ALL TOWING AND STORAGE FEETS,"https://api.coord.com/surveyor/photo/366014, https://api.coord.com/surveyor/photo/372935",right,Parking Sign,Handicap,206.6000061,street,
2087, ,cGhpbGFkZWxwaGlhOjcxNjY,F,TWO HOUR RESERVED PARKING FOR ONLY AT ALL TIMES METER MUST BE PAID 8 AM - 6 PM MON-SAT,https://api.coord.com/surveyor/photo/376332,left,Parking Sign,Handicap,26.6900005,unknown,
10456, ,cGhpbGFkZWxwaGlhOjQyOTk0,F,TWO HOUR RESERVED PARKING FOR ONLY AT ALL TIMES METER MUST BE PAID 8 AM - 6 PM MON - SAT,"https://api.coord.com/surveyor/photo/357143, https://api.coord.com/surveyor/photo/356286",left,Parking Sign,Handicap,45.2799988,unknown,
3935, ,cGhpbGFkZWxwaGlhOjEyOTI0,F,TWO HOUR RESERVED PARKING FOR ONLY AT ALL TIMES METER MUS BE PAID 8AM-8PM MON-SAT VEHICLES WITHOUT SUBJECT TO FIN AND ALL TOWING STORAGE FEETS,https://api.coord.com/surveyor/photo/378159,left,Parking Sign,Handicap,200.2400055,unknown,
7888, ,cGhpbGFkZWxwaGlhOjMwNjA1,F,TWO HOUR RESERVED PARKING FOR   ONLY AT ALL TIMES METER MUST BE PAID 8 AM-6:30 PM MON-SAT,https://api.coord.com/surveyor/photo/356937,right,Parking Sign,Handicap,119.8099976,unknown,
161, ,cGhpbGFkZWxwaGlhOjQ1OTA,F,"TWO AWAY ZONE 888-591-3636
","https://api.coord.com/surveyor/photo/373889, https://api.coord.com/surveyor/photo/368413",none,Parking Sign,Tow Away,94.6600037,street,
3546, ,cGhpbGFkZWxwaGlhOjEyOTAy,F,"TRUCK PARKING
PROHIBITED
10 AM-6 AM
MON-FRI","https://api.coord.com/surveyor/photo/346164, https://api.coord.com/surveyor/photo/356570",none,Parking Sign, ,7.2399998,unknown,
319, ,cGhpbGFkZWxwaGlhOjQ2MDE,F,"TRUCK PARKING
PROHIBITED
10 AM 6 AM
MON - FRI","https://api.coord.com/surveyor/photo/360236, https://api.coord.com/surveyor/photo/346107",none,Parking Sign, ,68.2200012,unknown,
3564, ,cGhpbGFkZWxwaGlhOjEyOTAz,F,"TRUCK PARKING
PROHIBITED
10 AM - 6 AM
MON -= FRI","https://api.coord.com/surveyor/photo/356575, https://api.coord.com/surveyor/photo/346190",none,Parking Sign, ,3.1199999,unknown,
400, ,cGhpbGFkZWxwaGlhOjQ2MDM,F,"TRUCK PARKING
PROHIBITED
10 AM - 6 AM
MON - FRI
","https://api.coord.com/surveyor/photo/346185, https://api.coord.com/surveyor/photo/360261",none,Parking Sign, ,120.5400009,unknown,
293, ,cGhpbGFkZWxwaGlhOjQ2MDE,F,"TRUCK PARKING
PROHIBITED
10 AM - 6 AM
MON - FRI","https://api.coord.com/surveyor/photo/360229, https://api.coord.com/surveyor/photo/346084",none,Parking Sign, ,3.4400001,unknown,
380, ,cGhpbGFkZWxwaGlhOjQ2MDM,F,"TRUCK PARKING
PROHIBITED
10 AM - 6 AM
MON - FRI","https://api.coord.com/surveyor/photo/346163, https://api.coord.com/surveyor/photo/360255",none,Parking Sign, ,31.7199993,street,
381, ,cGhpbGFkZWxwaGlhOjQ2MDM,F,"TRUCK PARKING
PROHIBITED
10 AM - 6 AM
MON - FRI","https://api.coord.com/surveyor/photo/346166, https://api.coord.com/surveyor/photo/360256",none,Parking Sign, ,58.7999992,street,
407, ,cGhpbGFkZWxwaGlhOjQ2MDQ,F,"TRUCK PARKING
PROHIBITED
10 AM - 6 AM
MON - FRI","https://api.coord.com/surveyor/photo/350709, https://api.coord.com/surveyor/photo/360262",none,Parking Sign, ,4.8499999,unknown,
3585, ,cGhpbGFkZWxwaGlhOjEyOTA0,F,"TRUCK PARKING
PROHIBITED
10 AM - 6 AM
MON - FRI","https://api.coord.com/surveyor/photo/356586, https://api.coord.com/surveyor/photo/355947",none,Parking Sign, ,48.1500015,street,
